dataset,split,K,epsilon_level,epsilon,n_test,eta_u_trim,eta_o_trim,eta_trim,n_pairs,n_pairs_kept,frac_kept,n_pairs_eta,frac_eta,ratio,LK_eta_trim,c_coeff,additive_bound,eta_path_raw,eta_u_path_raw,eta_o_path_raw,LK_raw,eta_u_cert,eta_o_cert,eta_cert,n_infeasible,frac_infeasible,eps_min_feasible,eps_min_feas_K,eps_cert,eta_u_certbest,eta_o_certbest,eta_certbest,LK_certbest,bound_certbest
wine,11,6,2,0.05555555555555555,36,2.2668900055834738,1.26502463054187,2.8676716917922915,63,15,0.23809523809523808,13,0.20634920634920634,0.9705882352941176,0.30180653782995803,1.3683244484529649,-0.15430161165436357,17.197341351479803,5.068664169787803,3.3928744883091673,0.05675774183490501,inf,inf,inf,1,0.015873015873015872,0.05615763546798025,0.05615763546798025,0.05728078817733986,2.7838116552571655,2.3618203011170493,6.57486288187263,0.1427754382971299,-0.1304263778756967
wine,11,7,1,0.027777777777777776,36,2.2668900055834738,3.3928744883091673,7.691273267747194,70,30,0.42857142857142855,18,0.2571428571428571,0.9705882352941176,0.12299283324590793,0.557622448887087,0.014566245962307683,17.197341351479803,5.068664169787803,3.3928744883091673,0.056719312491240625,inf,inf,inf,10,0.14285714285714285,0.05615763546798025,0.05615763546798025,0.05728078817733986,2.7838116552571655,2.3618203011170493,6.57486288187263,0.14253172241417167,-0.1756596523670718
wine,11,7,2,0.05555555555555555,36,2.2668900055834738,1.26502463054187,2.8676716917922915,70,15,0.21428571428571427,13,0.18571428571428572,0.9705882352941176,0.30071752868058055,1.3633871205395394,-0.2294885737514626,17.197341351479803,5.068664169787803,3.3928744883091673,0.056719312491240625,inf,inf,inf,1,0.014285714285714285,0.05615763546798025,0.05615763546798025,0.05728078817733986,2.7838116552571655,2.3618203011170493,6.57486288187263,0.14253172241417167,-0.1756596523670718
wine,12,1,1,0.027777777777777776,36,4.504766369745275,1.3924304447373896,6.27257383966245,13,12,0.9230769230769231,11,0.8461538461538461,0.7586206896551725,0.1594241894255347,1.4363374540960983,0.11952592681175421,6.27257383966245,4.504766369745275,1.3924304447373896,0.1594241894255347,inf,inf,inf,1,0.07692307692307693,0.07825574134461943,0.07825574134461943,0.2041238962323385,1.01967538979288,1.0,1.01967538979288,0.9807042613856979,0.5724564689210208
wine,12,1,2,0.05555555555555555,36,2.0374611252473858,1.3924304447373896,2.8370229007633596,13,11,0.8461538461538461,10,0.7692307692307693,0.7586206896551725,0.352482174088524,1.436337454096098,0.272685648860963,6.27257383966245,4.504766369745275,1.3924304447373896,0.1594241894255347,inf,inf,inf,1,0.07692307692307693,0.07825574134461943,0.07825574134461943,0.2041238962323385,1.01967538979288,1.0,1.01967538979288,0.9807042613856979,0.5724564689210208
wine,12,2,1,0.027777777777777776,36,4.504766369745275,1.3924304447373896,6.27257383966245,25,22,0.88,21,0.84,0.9714285714285714,0.1530701713820376,1.3790907205058973,0.0764540202428211,21.66002914035946,15.555555555555602,1.3924304447373896,0.04563511878011306,inf,inf,inf,1,0.04,0.07825574134461943,0.07825574134461943,0.15609392512656636,1.1554918443529365,1.0,1.1554918443529365,0.6781890509628565,0.18890207989195756
wine,12,2,2,0.05555555555555555,36,3.4777288301517375,1.3924304447373896,4.842495501644225,25,20,0.8,19,0.76,0.9714285714285714,0.1958440076191693,1.3621847030192833,0.04449015172813783,21.66002914035946,15.555555555555602,1.3924304447373896,0.04563511878011306,inf,inf,inf,1,0.04,0.07825574134461943,0.07825574134461943,0.15609392512656636,1.1554918443529365,1.0,1.1554918443529365,0.6781890509628565,0.18890207989195756
wine,12,3,1,0.027777777777777776,36,4.504766369745275,1.7822660098522163,8.028691983122366,36,26,0.7222222222222222,22,0.6111111111111112,0.9722222222222222,0.11945368107402876,1.076221850489125,0.029768526866601683,27.72413793103456,15.555555555555602,1.7822660098522163,0.035637716531649266,inf,inf,inf,5,0.1388888888888889,0.07825574134461943,0.07825574134461943,0.14596846449628706,1.2306894399546975,1.0,1.2306894399546975,0.6123417370264266,-0.04767146980127255
wine,12,3,2,0.05555555555555555,36,3.4777288301517375,1.3924304447373896,4.842495501644225,36,20,0.5555555555555556,19,0.5277777777777778,0.9722222222222222,0.1926164697777737,1.3397357002164287,-0.03067281359163107,27.72413793103456,15.555555555555602,1.7822660098522163,0.035637716531649266,inf,inf,inf,1,0.027777777777777776,0.07825574134461943,0.07825574134461943,0.14596846449628706,1.2306894399546975,1.0,1.2306894399546975,0.6123417370264266,-0.04767146980127255
wine,12,4,1,0.027777777777777776,36,4.504766369745275,1.7822660098522163,8.028691983122366,46,26,0.5652173913043478,22,0.4782608695652174,0.9444444444444444,0.11885554527845044,1.0708329264562007,-0.00012589099446073948,27.72413793103456,15.555555555555602,1.7822660098522163,0.03558469567123379,inf,inf,inf,5,0.10869565217391304,0.07825574134461943,0.07825574134461943,0.14596846449628706,1.2306894399546975,1.0,1.2306894399546975,0.5967892531100489,-0.26087734040187194
wine,12,4,2,0.05555555555555555,36,3.4777288301517375,1.3924304447373896,4.842495501644225,46,20,0.43478260869565216,19,0.41304347826086957,0.9444444444444444,0.19105675187989613,1.3288871484157239,-0.10425150332359806,27.72413793103456,15.555555555555602,1.7822660098522163,0.03558469567123379,inf,inf,inf,1,0.021739130434782608,0.07825574134461943,0.07825574134461943,0.14596846449628706,1.2306894399546975,1.0,1.2306894399546975,0.5967892531100489,-0.26087734040187194
wine,12,5,1,0.027777777777777776,36,4.504766369745275,1.7822660098522163,8.028691983122366,55,26,0.4727272727272727,22,0.4,0.9444444444444444,0.11850054613365335,1.0676345500386601,-0.029782030260604997,27.72413793103456,15.555555555555602,1.7822660098522163,0.03555298449533595,inf,inf,inf,5,0.09090909090909091,0.07825574134461943,0.07825574134461943,0.14596846449628706,1.2306894399546975,1.0,1.2306894399546975,0.5880004309794462,-0.4682944084332528
wine,12,5,2,0.05555555555555555,36,3.4777288301517375,1.3924304447373896,4.842495501644225,55,20,0.36363636363636365,19,0.34545454545454546,0.9444444444444444,0.19013742837012826,1.322492832667412,-0.17722169181526393,27.72413793103456,15.555555555555602,1.7822660098522163,0.03555298449533595,inf,inf,inf,1,0.01818181818181818,0.07825574134461943,0.07825574134461943,0.14596846449628706,1.2306894399546975,1.0,1.2306894399546975,0.5880004309794462,-0.4682944084332528
wine,12,6,1,0.027777777777777776,36,4.504766369745275,1.7822660098522163,8.028691983122366,63,27,0.42857142857142855,22,0.3492063492063492,0.9444444444444444,0.11826547288605582,1.065516649918252,-0.05932063543365282,27.72413793103456,15.555555555555602,1.7822660098522163,0.03553188574700117,inf,inf,inf,5,0.07936507936507936,0.07825574134461943,0.07825574134461943,0.14596846449628706,1.2306894399546975,1.0,1.2306894399546975,0.5823478754589442,-0.6730207056128626
wine,12,6,2,0.05555555555555555,36,3.4777288301517375,1.3924304447373896,4.842495501644225,63,20,0.31746031746031744,19,0.30158730158730157,0.9444444444444444,0.1895312513091978,1.3182765937854628,-0.24989427995262314,27.72413793103456,15.555555555555602,1.7822660098522163,0.03553188574700117,inf,inf,inf,1,0.015873015873015872,0.07825574134461943,0.07825574134461943,0.14596846449628706,1.2306894399546975,1.0,1.2306894399546975,0.5823478754589442,-0.6730207056128626
wine,12,7,1,0.027777777777777776,36,4.504766369745275,1.7822660098522163,8.028691983122366,70,27,0.38571428571428573,22,0.3142857142857143,0.9714285714285714,0.11809833593537145,1.0640108240890824,-0.08879265763750566,27.72413793103456,15.555555555555602,1.7822660098522163,0.03551683574198461,inf,inf,inf,5,0.07142857142857142,0.07825574134461943,0.07825574134461943,0.14596846449628706,1.2306894399546975,1.0,1.2306894399546975,0.5784060970220153,-0.876277063825486
wine,12,7,2,0.05555555555555555,36,3.4777288301517375,1.3924304447373896,4.842495501644225,70,20,0.2857142857142857,19,0.2714285714285714,0.9714285714285714,0.18910149920187047,1.3152874711985214,-0.32239918404199897,27.72413793103456,15.555555555555602,1.7822660098522163,0.03551683574198461,inf,inf,inf,1,0.014285714285714285,0.07825574134461943,0.07825574134461943,0.14596846449628706,1.2306894399546975,1.0,1.2306894399546975,0.5784060970220153,-0.876277063825486
wine,13,1,1,0.027777777777777776,36,2.8707438279904016,1.6593769513633534,4.763646141435876,13,11,0.8461538461538461,11,0.8461538461538461,0.9259259259259259,0.2099232332354931,1.2052716523251628,0.1764434651153497,4.763646141435876,2.8707438279904016,1.6593769513633534,0.2099232332354931,inf,inf,inf,1,0.07692307692307693,0.036029972941094834,0.036029972941094834,0.14054109959316496,1.0196000543183483,1.0,1.0196000543183483,0.9807767229558928,0.6996945237695629
wine,13,1,2,0.05555555555555555,36,2.8707438279904016,1.0436272809269413,2.995986575443422,13,10,0.7692307692307693,10,0.7692307692307693,0.9259259259259259,0.3337798667712637,1.9163929848821277,0.22731358983336772,4.763646141435876,2.8707438279904016,1.6593769513633534,0.2099232332354931,1.6712856132376313,1.0,1.6712856132376313,0,0.0,0.036029972941094834,0.036029972941094834,0.14054109959316496,1.0196000543183483,1.0,1.0196000543183483,0.9807767229558928,0.6996945237695629
wine,13,2,1,0.027777777777777776,36,3.9992119779353805,1.9019704433497522,7.606382978723395,25,18,0.72,17,0.68,1.0303030303030303,0.12714753777690846,1.016979912084807,0.07064865377219695,25.74000000000037,13.53333333333354,1.9019704433497522,0.03847270747037601,inf,inf,inf,2,0.08,0.09088669950738915,0.09088669950738915,0.09270443349753693,1.306315718826441,1.0,1.306315718826441,0.6190096750462841,0.3191582719067061
wine,13,2,2,0.05555555555555555,36,2.8707438279904016,1.9019704433497522,5.460069911266469,25,14,0.56,14,0.56,1.0303030303030303,0.17476205542930778,1.0033941839812035,0.06327381276472963,25.74000000000037,13.53333333333354,1.9019704433497522,0.03847270747037601,inf,inf,inf,1,0.04,0.09088669950738915,0.09088669950738915,0.09270443349753693,1.306315718826441,1.0,1.306315718826441,0.6190096750462841,0.3191582719067061
wine,13,3,1,0.027777777777777776,36,3.9992119779353805,2.269950738916254,9.078014184397151,36,22,0.6111111111111112,18,0.5,1.0,0.1061609568595887,0.8491203405238967,0.03540092848259732,30.72000000000044,13.53333333333354,2.269950738916254,0.032200148157948694,inf,inf,inf,4,0.1111111111111111,0.09088669950738915,0.09088669950738915,0.09270443349753693,1.306315718826441,1.0,1.306315718826441,0.5867903304354758,0.1604240448439184
wine,13,3,2,0.05555555555555555,36,2.8707438279904016,1.9019704433497522,5.460069911266469,36,14,0.3888888888888889,14,0.3888888888888889,1.0,0.1721943260966181,0.988651597713666,0.007419059811007128,30.72000000000044,13.53333333333354,2.269950738916254,0.032200148157948694,inf,inf,inf,1,0.027777777777777776,0.09088669950738915,0.09088669950738915,0.09270443349753693,1.306315718826441,1.0,1.306315718826441,0.5867903304354758,0.1604240448439184
wine,13,4,1,0.027777777777777776,36,3.9992119779353805,2.269950738916254,9.078014184397151,46,22,0.4782608695652174,18,0.391304347826087,0.9428571428571428,0.10568881754518822,0.8453439701210874,0.011761709753956281,30.72000000000044,13.53333333333354,2.269950738916254,0.032156870488057265,inf,inf,inf,4,0.08695652173913043,0.09088669950738915,0.09088669950738915,0.09270443349753693,1.306315718826441,1.0,1.306315718826441,0.5724544809958354,0.017854815498505063
wine,13,4,2,0.05555555555555555,36,2.8707438279904016,1.9019704433497522,5.460069911266469,46,14,0.30434782608695654,14,0.30434782608695654,0.9428571428571428,0.1709487285114869,0.9815000145543157,-0.047162385833916576,30.72000000000044,13.53333333333354,2.269950738916254,0.032156870488057265,inf,inf,inf,1,0.021739130434782608,0.09088669950738915,0.09088669950738915,0.09270443349753693,1.306315718826441,1.0,1.306315718826441,0.5724544809958354,0.017854815498505063
wine,13,5,1,0.027777777777777776,36,3.9992119779353805,2.269950738916254,9.078014184397151,55,22,0.4,18,0.32727272727272727,0.9428571428571428,0.10540825187035718,0.8430998869063239,-0.011688954644409999,30.72000000000044,13.53333333333354,2.269950738916254,0.032130978584924086,inf,inf,inf,4,0.07272727272727272,0.09088669950738915,0.09088669950738915,0.09270443349753693,1.306315718826441,1.0,1.306315718826441,0.5643330137701448,-0.11908136906770114
wine,13,5,2,0.05555555555555555,36,2.8707438279904016,1.9019704433497522,5.460069911266469,55,14,0.2545454545454545,14,0.2545454545454545,0.9428571428571428,0.17021311879711265,0.9772765204596163,-0.10125258133055853,30.72000000000044,13.53333333333354,2.269950738916254,0.032130978584924086,inf,inf,inf,1,0.01818181818181818,0.09088669950738915,0.09088669950738915,0.09270443349753693,1.306315718826441,1.0,1.306315718826441,0.5643330137701448,-0.11908136906770114
wine,13,6,1,0.027777777777777776,36,3.9992119779353805,2.269950738916254,9.078014184397151,63,22,0.3492063492063492,18,0.2857142857142857,0.9428571428571428,0.10522232517291785,0.8416127663554892,-0.03504646921966367,30.72000000000044,13.53333333333354,2.269950738916254,0.032113748314522406,inf,inf,inf,4,0.06349206349206349,0.09088669950738915,0.09088669950738915,0.09270443349753693,1.306315718826441,1.0,1.306315718826441,0.5591022469895308,-0.25339358312378624
wine,13,6,2,0.05555555555555555,36,2.8707438279904016,1.9019704433497522,5.460069911266469,63,14,0.2222222222222222,14,0.2222222222222222,0.9428571428571428,0.16972749826019273,0.9744883361413998,-0.15510194712027386,30.72000000000044,13.53333333333354,2.269950738916254,0.032113748314522406,inf,inf,inf,1,0.015873015873015872,0.09088669950738915,0.09088669950738915,0.09270443349753693,1.306315718826441,1.0,1.306315718826441,0.5591022469895308,-0.25339358312378624
wine,13,7,1,0.027777777777777776,36,3.9992119779353805,2.269950738916254,9.078014184397151,70,22,0.3142857142857143,18,0.2571428571428571,0.9428571428571428,0.10509006277140809,0.8405548755947925,-0.05835116303869045,30.72000000000044,13.53333333333354,2.269950738916254,0.0321014561218651,inf,inf,inf,4,0.05714285714285714,0.09088669950738915,0.09088669950738915,0.09270443349753693,1.306315718826441,1.0,1.306315718826441,0.5554512358657236,-0.3862705773373382
wine,13,7,2,0.05555555555555555,36,2.8707438279904016,1.9019704433497522,5.460069911266469,70,14,0.2,14,0.2,0.9428571428571428,0.16938293707689522,0.972510042360767,-0.2088154127300697,30.72000000000044,13.53333333333354,2.269950738916254,0.0321014561218651,inf,inf,inf,1,0.014285714285714285,0.09088669950738915,0.09088669950738915,0.09270443349753693,1.306315718826441,1.0,1.306315718826441,0.5554512358657236,-0.3862705773373382
wine,14,1,1,0.027777777777777776,36,2.0666223473590914,2.2826059807118573,4.7172845299546395,13,11,0.8461538461538461,10,0.7692307692307693,0.8148148148148149,0.21198636496272905,0.8761915183347924,0.18764771167565147,4.7172845299546395,2.0666223473590914,2.2826059807118573,0.21198636496272905,inf,inf,inf,2,0.15384615384615385,0.15499549018247416,0.15499549018247416,0.15809539998612365,1.0,1.0279223270658433,1.0279223270658433,0.9728361508154548,0.6652343100471944
wine,14,1,2,0.05555555555555555,36,2.0666223473590914,2.2826059807118573,4.7172845299546395,13,10,0.7692307692307693,9,0.6923076923076923,0.8148148148148149,0.21198636496272905,0.8761915183347924,0.1633090583885739,4.7172845299546395,2.0666223473590914,2.2826059807118573,0.21198636496272905,inf,inf,inf,2,0.15384615384615385,0.15499549018247416,0.15499549018247416,0.15809539998612365,1.0,1.0279223270658433,1.0279223270658433,0.9728361508154548,0.6652343100471944
wine,14,2,1,0.027777777777777776,36,4.563262684649979,2.2826059807118573,10.41613069554129,25,16,0.64,15,0.6,0.8571428571428572,0.09370070264928321,0.855161839849915,0.04619171154651015,19.0686837071815,8.353909465020637,2.2826059807118573,0.05175446370538539,inf,inf,inf,3,0.12,0.15499549018247416,0.15499549018247416,0.15809539998612365,1.188422634850585,1.0279223270658433,1.2216061603533344,0.6510702205094111,0.16176711591468054
wine,14,2,2,0.05555555555555555,36,3.0859590934217853,2.2826059807118573,7.044028682876708,25,14,0.56,13,0.52,0.8571428571428572,0.13692575509805516,0.8450945581369754,0.043026359749502335,19.0686837071815,8.353909465020637,2.2826059807118573,0.05175446370538539,inf,inf,inf,2,0.08,0.15499549018247416,0.15499549018247416,0.15809539998612365,1.188422634850585,1.0279223270658433,1.2216061603533344,0.6510702205094111,0.16176711591468054
