K,n,eta,tau,x,y,balanced,F,G,Ghat_xy
6,48,2.0,1,1,1,1,0.242424242424,0.224988521287,0.224988521287
6,48,2.0,1,1,2,0,0.393939393939,0.37524848756,0.322386149549
6,48,2.0,1,1,3,0,0.545454545455,0.589520216451,0.41092944797
6,48,2.0,1,1,4,0,0.69696969697,0.795745607863,0.491423355625
6,48,2.0,1,1,5,0,0.848484848485,1.00306746218,0.569232900159
6,48,2.0,1,1,6,0,1,1.21611354813,0.645126099206
6,48,2.0,1,2,0,1,0.173553719008,0.224988521287,0.224988521287
6,48,2.0,1,2,1,1,0.31129476584,0.322386149549,0.322386149549
6,48,2.0,1,2,2,0,0.449035812672,0.45316659017,0.41092944797
6,48,2.0,1,2,3,0,0.586776859504,0.647958793408,0.491423355625
6,48,2.0,1,2,4,0,0.724517906336,0.834704659168,0.569232900159
6,48,2.0,1,2,5,0,0.862258953168,1.02254698783,0.645126099206
6,48,2.0,1,2,6,0,1,1.21611354813,0.717186607279
6,48,2.0,1,3,0,1,0.248685199098,0.322386149549,0.322386149549
6,48,2.0,1,3,1,1,0.373904332582,0.41092944797,0.41092944797
6,48,2.0,1,3,2,0,0.499123466066,0.524001228906,0.491423355625
6,48,2.0,1,3,3,0,0.624342599549,0.701084772461,0.569232900159
6,48,2.0,1,3,4,0,0.749561733033,0.870121978536,0.645126099206
6,48,2.0,1,3,5,0,0.874780866516,1.04025564752,0.717186607279
6,48,2.0,1,3,6,0,1,1.21611354813,0.781581733403
6,48,2.0,1,4,0,1,0.316986544635,0.41092944797,0.41092944797
6,48,2.0,1,4,1,1,0.430822120529,0.491423355625,0.491423355625
6,48,2.0,1,4,2,0,0.544657696423,0.58839635503,0.569232900159
6,48,2.0,1,4,3,0,0.658493272317,0.749381117054,0.645126099206
6,48,2.0,1,4,4,0,0.772328848212,0.902319541598,0.717186607279
6,48,2.0,1,4,5,0,0.886164424106,1.05635442905,0.781581733403
6,48,2.0,1,4,6,0,1,1.21611354813,0.845596549307
6,48,2.0,1,5,0,1,0.375802463948,0.491423355625,0.491423355625
6,48,2.0,1,5,1,1,0.48584177711,0.569232900159,0.569232900159
6,48,2.0,1,5,2,0,0.590191926781,0.652791481154,0.645126099206
6,48,2.0,1,5,3,0,0.692643945086,0.797677461647,0.717186607279
6,48,2.0,1,5,4,0,0.79509596339,0.93451710466,0.781581733403
