dataset,method,p,seed,K,f_value
email_eu_core,random,,9,18,402
email_eu_core,random,,9,19,412
email_eu_core,random,,9,20,443
email_eu_core,random,,9,21,449
email_eu_core,random,,9,22,450
email_eu_core,random,,9,23,453
email_eu_core,random,,9,24,453
email_eu_core,random,,9,25,470
email_eu_core,random,,9,26,476
email_eu_core,random,,9,27,482
email_eu_core,random,,9,28,498
email_eu_core,random,,9,29,500
email_eu_core,random,,9,30,501
email_eu_core,degree_obs,0.3,0,1,334
email_eu_core,degree_obs,0.3,0,2,384
email_eu_core,degree_obs,0.3,0,3,430
email_eu_core,degree_obs,0.3,0,4,460
email_eu_core,degree_obs,0.3,0,5,476
email_eu_core,degree_obs,0.3,0,6,525
email_eu_core,degree_obs,0.3,0,7,565
email_eu_core,degree_obs,0.3,0,8,596
email_eu_core,degree_obs,0.3,0,9,631
email_eu_core,degree_obs,0.3,0,10,636
email_eu_core,degree_obs,0.3,0,11,643
email_eu_core,degree_obs,0.3,0,12,656
email_eu_core,degree_obs,0.3,0,13,659
email_eu_core,degree_obs,0.3,0,14,660
email_eu_core,degree_obs,0.3,0,15,665
email_eu_core,degree_obs,0.3,0,16,674
email_eu_core,degree_obs,0.3,0,17,680
email_eu_core,degree_obs,0.3,0,18,682
email_eu_core,degree_obs,0.3,0,19,697
email_eu_core,degree_obs,0.3,0,20,705
email_eu_core,degree_obs,0.3,0,21,706
email_eu_core,degree_obs,0.3,0,22,715
email_eu_core,degree_obs,0.3,0,23,716
email_eu_core,degree_obs,0.3,0,24,720
email_eu_core,degree_obs,0.3,0,25,722
email_eu_core,degree_obs,0.3,0,26,729
email_eu_core,degree_obs,0.3,0,27,734
email_eu_core,degree_obs,0.3,0,28,736
email_eu_core,degree_obs,0.3,0,29,739
email_eu_core,degree_obs,0.3,0,30,740
email_eu_core,degree_obs,0.3,1,1,334
email_eu_core,degree_obs,0.3,1,2,406
email_eu_core,degree_obs,0.3,1,3,441
email_eu_core,degree_obs,0.3,1,4,468
email_eu_core,degree_obs,0.3,1,5,488
email_eu_core,degree_obs,0.3,1,6,499
email_eu_core,degree_obs,0.3,1,7,508
email_eu_core,degree_obs,0.3,1,8,543
email_eu_core,degree_obs,0.3,1,9,579
email_eu_core,degree_obs,0.3,1,10,602
email_eu_core,degree_obs,0.3,1,11,610
email_eu_core,degree_obs,0.3,1,12,615
email_eu_core,degree_obs,0.3,1,13,636
email_eu_core,degree_obs,0.3,1,14,647
email_eu_core,degree_obs,0.3,1,15,651
email_eu_core,degree_obs,0.3,1,16,658
email_eu_core,degree_obs,0.3,1,17,664
email_eu_core,degree_obs,0.3,1,18,667
email_eu_core,degree_obs,0.3,1,19,678
email_eu_core,degree_obs,0.3,1,20,689
email_eu_core,degree_obs,0.3,1,21,694
email_eu_core,degree_obs,0.3,1,22,697
email_eu_core,degree_obs,0.3,1,23,704
email_eu_core,degree_obs,0.3,1,24,706
email_eu_core,degree_obs,0.3,1,25,710
email_eu_core,degree_obs,0.3,1,26,712
email_eu_core,degree_obs,0.3,1,27,714
email_eu_core,degree_obs,0.3,1,28,716
email_eu_core,degree_obs,0.3,1,29,721
email_eu_core,degree_obs,0.3,1,30,722
email_eu_core,degree_obs,0.3,2,1,334
email_eu_core,degree_obs,0.3,2,2,406
email_eu_core,degree_obs,0.3,2,3,433
email_eu_core,degree_obs,0.3,2,4,480
email_eu_core,degree_obs,0.3,2,5,490
email_eu_core,degree_obs,0.3,2,6,514
email_eu_core,degree_obs,0.3,2,7,536
email_eu_core,degree_obs,0.3,2,8,546
email_eu_core,degree_obs,0.3,2,9,577
email_eu_core,degree_obs,0.3,2,10,599
email_eu_core,degree_obs,0.3,2,11,616
email_eu_core,degree_obs,0.3,2,12,620
email_eu_core,degree_obs,0.3,2,13,625
email_eu_core,degree_obs,0.3,2,14,633
email_eu_core,degree_obs,0.3,2,15,637
email_eu_core,degree_obs,0.3,2,16,644
email_eu_core,degree_obs,0.3,2,17,658
email_eu_core,degree_obs,0.3,2,18,659
email_eu_core,degree_obs,0.3,2,19,663
email_eu_core,degree_obs,0.3,2,20,667
email_eu_core,degree_obs,0.3,2,21,681
email_eu_core,degree_obs,0.3,2,22,683
email_eu_core,degree_obs,0.3,2,23,710
email_eu_core,degree_obs,0.3,2,24,715
email_eu_core,degree_obs,0.3,2,25,724
email_eu_core,degree_obs,0.3,2,26,725
email_eu_core,degree_obs,0.3,2,27,733
email_eu_core,degree_obs,0.3,2,28,734
email_eu_core,degree_obs,0.3,2,29,735
email_eu_core,degree_obs,0.3,2,30,735
email_eu_core,degree_obs,0.3,3,1,334
email_eu_core,degree_obs,0.3,3,2,406
email_eu_core,degree_obs,0.3,3,3,441
email_eu_core,degree_obs,0.3,3,4,496
email_eu_core,degree_obs,0.3,3,5,532
email_eu_core,degree_obs,0.3,3,6,542
email_eu_core,degree_obs,0.3,3,7,552
email_eu_core,degree_obs,0.3,3,8,562
email_eu_core,degree_obs,0.3,3,9,580
email_eu_core,degree_obs,0.3,3,10,601
email_eu_core,degree_obs,0.3,3,11,610
email_eu_core,degree_obs,0.3,3,12,632
email_eu_core,degree_obs,0.3,3,13,637
email_eu_core,degree_obs,0.3,3,14,645
email_eu_core,degree_obs,0.3,3,15,649
email_eu_core,degree_obs,0.3,3,16,679
email_eu_core,degree_obs,0.3,3,17,685
email_eu_core,degree_obs,0.3,3,18,698
email_eu_core,degree_obs,0.3,3,19,702
email_eu_core,degree_obs,0.3,3,20,703
email_eu_core,degree_obs,0.3,3,21,708
email_eu_core,degree_obs,0.3,3,22,711
email_eu_core,degree_obs,0.3,3,23,719
email_eu_core,degree_obs,0.3,3,24,721
email_eu_core,degree_obs,0.3,3,25,726
email_eu_core,degree_obs,0.3,3,26,728
email_eu_core,degree_obs,0.3,3,27,733
email_eu_core,degree_obs,0.3,3,28,734
email_eu_core,degree_obs,0.3,3,29,740
email_eu_core,degree_obs,0.3,3,30,742
email_eu_core,degree_obs,0.3,4,1,334
email_eu_core,degree_obs,0.3,4,2,416
email_eu_core,degree_obs,0.3,4,3,441
email_eu_core,degree_obs,0.3,4,4,463
email_eu_core,degree_obs,0.3,4,5,475
email_eu_core,degree_obs,0.3,4,6,499
email_eu_core,degree_obs,0.3,4,7,540
email_eu_core,degree_obs,0.3,4,8,548
email_eu_core,degree_obs,0.3,4,9,575
email_eu_core,degree_obs,0.3,4,10,581
email_eu_core,degree_obs,0.3,4,11,612
email_eu_core,degree_obs,0.3,4,12,625
email_eu_core,degree_obs,0.3,4,13,629
email_eu_core,degree_obs,0.3,4,14,637
email_eu_core,degree_obs,0.3,4,15,642
email_eu_core,degree_obs,0.3,4,16,649
email_eu_core,degree_obs,0.3,4,17,664
email_eu_core,degree_obs,0.3,4,18,671
email_eu_core,degree_obs,0.3,4,19,679
email_eu_core,degree_obs,0.3,4,20,685
email_eu_core,degree_obs,0.3,4,21,688
email_eu_core,degree_obs,0.3,4,22,690
email_eu_core,degree_obs,0.3,4,23,692
email_eu_core,degree_obs,0.3,4,24,716
email_eu_core,degree_obs,0.3,4,25,722
email_eu_core,degree_obs,0.3,4,26,726
email_eu_core,degree_obs,0.3,4,27,729
email_eu_core,degree_obs,0.3,4,28,737
email_eu_core,degree_obs,0.3,4,29,738
email_eu_core,degree_obs,0.3,4,30,739
email_eu_core,degree_obs,0.3,5,1,334
email_eu_core,degree_obs,0.3,5,2,406
email_eu_core,degree_obs,0.3,5,3,430
email_eu_core,degree_obs,0.3,5,4,460
email_eu_core,degree_obs,0.3,5,5,476
email_eu_core,degree_obs,0.3,5,6,488
email_eu_core,degree_obs,0.3,5,7,533
email_eu_core,degree_obs,0.3,5,8,563
email_eu_core,degree_obs,0.3,5,9,600
email_eu_core,degree_obs,0.3,5,10,604
email_eu_core,degree_obs,0.3,5,11,612
email_eu_core,degree_obs,0.3,5,12,619
email_eu_core,degree_obs,0.3,5,13,628
email_eu_core,degree_obs,0.3,5,14,635
email_eu_core,degree_obs,0.3,5,15,647
email_eu_core,degree_obs,0.3,5,16,654
email_eu_core,degree_obs,0.3,5,17,659
email_eu_core,degree_obs,0.3,5,18,688
email_eu_core,degree_obs,0.3,5,19,692
email_eu_core,degree_obs,0.3,5,20,698
email_eu_core,degree_obs,0.3,5,21,711
email_eu_core,degree_obs,0.3,5,22,720
email_eu_core,degree_obs,0.3,5,23,723
email_eu_core,degree_obs,0.3,5,24,731
email_eu_core,degree_obs,0.3,5,25,733
email_eu_core,degree_obs,0.3,5,26,733
email_eu_core,degree_obs,0.3,5,27,734
email_eu_core,degree_obs,0.3,5,28,735
email_eu_core,degree_obs,0.3,5,29,737
email_eu_core,degree_obs,0.3,5,30,738
email_eu_core,degree_obs,0.3,6,1,334
email_eu_core,degree_obs,0.3,6,2,416
email_eu_core,degree_obs,0.3,6,3,441
email_eu_core,degree_obs,0.3,6,4,491
email_eu_core,degree_obs,0.3,6,5,510
email_eu_core,degree_obs,0.3,6,6,524
email_eu_core,degree_obs,0.3,6,7,556
email_eu_core,degree_obs,0.3,6,8,563
email_eu_core,degree_obs,0.3,6,9,600
email_eu_core,degree_obs,0.3,6,10,605
email_eu_core,degree_obs,0.3,6,11,607
email_eu_core,degree_obs,0.3,6,12,621
email_eu_core,degree_obs,0.3,6,13,624
email_eu_core,degree_obs,0.3,6,14,629
email_eu_core,degree_obs,0.3,6,15,641
email_eu_core,degree_obs,0.3,6,16,653
email_eu_core,degree_obs,0.3,6,17,661
email_eu_core,degree_obs,0.3,6,18,667
email_eu_core,degree_obs,0.3,6,19,672
email_eu_core,degree_obs,0.3,6,20,675
email_eu_core,degree_obs,0.3,6,21,677
email_eu_core,degree_obs,0.3,6,22,678
email_eu_core,degree_obs,0.3,6,23,683
email_eu_core,degree_obs,0.3,6,24,685
email_eu_core,degree_obs,0.3,6,25,686
email_eu_core,degree_obs,0.3,6,26,689
email_eu_core,degree_obs,0.3,6,27,694
email_eu_core,degree_obs,0.3,6,28,697
email_eu_core,degree_obs,0.3,6,29,706
email_eu_core,degree_obs,0.3,6,30,707
email_eu_core,degree_obs,0.3,7,1,334
email_eu_core,degree_obs,0.3,7,2,406
email_eu_core,degree_obs,0.3,7,3,441
email_eu_core,degree_obs,0.3,7,4,463
email_eu_core,degree_obs,0.3,7,5,507
email_eu_core,degree_obs,0.3,7,6,542
email_eu_core,degree_obs,0.3,7,7,552
email_eu_core,degree_obs,0.3,7,8,590
email_eu_core,degree_obs,0.3,7,9,600
email_eu_core,degree_obs,0.3,7,10,604
email_eu_core,degree_obs,0.3,7,11,619
email_eu_core,degree_obs,0.3,7,12,621
email_eu_core,degree_obs,0.3,7,13,653
email_eu_core,degree_obs,0.3,7,14,662
email_eu_core,degree_obs,0.3,7,15,670
email_eu_core,degree_obs,0.3,7,16,671
email_eu_core,degree_obs,0.3,7,17,679
email_eu_core,degree_obs,0.3,7,18,681
email_eu_core,degree_obs,0.3,7,19,687
email_eu_core,degree_obs,0.3,7,20,690
email_eu_core,degree_obs,0.3,7,21,693
email_eu_core,degree_obs,0.3,7,22,704
email_eu_core,degree_obs,0.3,7,23,708
email_eu_core,degree_obs,0.3,7,24,716
email_eu_core,degree_obs,0.3,7,25,717
email_eu_core,degree_obs,0.3,7,26,719
email_eu_core,degree_obs,0.3,7,27,722
email_eu_core,degree_obs,0.3,7,28,729
email_eu_core,degree_obs,0.3,7,29,729
email_eu_core,degree_obs,0.3,7,30,729
email_eu_core,degree_obs,0.3,8,1,334
email_eu_core,degree_obs,0.3,8,2,406
email_eu_core,degree_obs,0.3,8,3,464
email_eu_core,degree_obs,0.3,8,4,496
email_eu_core,degree_obs,0.3,8,5,517
email_eu_core,degree_obs,0.3,8,6,550
email_eu_core,degree_obs,0.3,8,7,560
email_eu_core,degree_obs,0.3,8,8,568
email_eu_core,degree_obs,0.3,8,9,575
email_eu_core,degree_obs,0.3,8,10,591
email_eu_core,degree_obs,0.3,8,11,595
email_eu_core,degree_obs,0.3,8,12,604
email_eu_core,degree_obs,0.3,8,13,614
email_eu_core,degree_obs,0.3,8,14,622
email_eu_core,degree_obs,0.3,8,15,636
email_eu_core,degree_obs,0.3,8,16,638
email_eu_core,degree_obs,0.3,8,17,668
email_eu_core,degree_obs,0.3,8,18,671
email_eu_core,degree_obs,0.3,8,19,676
email_eu_core,degree_obs,0.3,8,20,681
email_eu_core,degree_obs,0.3,8,21,692
email_eu_core,degree_obs,0.3,8,22,696
email_eu_core,degree_obs,0.3,8,23,699
email_eu_core,degree_obs,0.3,8,24,701
email_eu_core,degree_obs,0.3,8,25,703
email_eu_core,degree_obs,0.3,8,26,715
email_eu_core,degree_obs,0.3,8,27,723
email_eu_core,degree_obs,0.3,8,28,735
email_eu_core,degree_obs,0.3,8,29,737
email_eu_core,degree_obs,0.3,8,30,739
email_eu_core,degree_obs,0.3,9,1,334
email_eu_core,degree_obs,0.3,9,2,384
email_eu_core,degree_obs,0.3,9,3,440
email_eu_core,degree_obs,0.3,9,4,460
email_eu_core,degree_obs,0.3,9,5,508
email_eu_core,degree_obs,0.3,9,6,544
email_eu_core,degree_obs,0.3,9,7,552
email_eu_core,degree_obs,0.3,9,8,590
email_eu_core,degree_obs,0.3,9,9,602
email_eu_core,degree_obs,0.3,9,10,610
email_eu_core,degree_obs,0.3,9,11,614
email_eu_core,degree_obs,0.3,9,12,621
email_eu_core,degree_obs,0.3,9,13,634
email_eu_core,degree_obs,0.3,9,14,664
email_eu_core,degree_obs,0.3,9,15,666
email_eu_core,degree_obs,0.3,9,16,673
email_eu_core,degree_obs,0.3,9,17,681
email_eu_core,degree_obs,0.3,9,18,685
email_eu_core,degree_obs,0.3,9,19,687
email_eu_core,degree_obs,0.3,9,20,689
email_eu_core,degree_obs,0.3,9,21,699
email_eu_core,degree_obs,0.3,9,22,707
email_eu_core,degree_obs,0.3,9,23,712
email_eu_core,degree_obs,0.3,9,24,725
email_eu_core,degree_obs,0.3,9,25,731
email_eu_core,degree_obs,0.3,9,26,734
email_eu_core,degree_obs,0.3,9,27,738
email_eu_core,degree_obs,0.3,9,28,739
email_eu_core,degree_obs,0.3,9,29,741
email_eu_core,degree_obs,0.3,9,30,746
