task,dataset,K,seed,ratio,eta_sel,eta_path_trimmed,viol_sign_pct,LK_eta_sel,LK_eta_path,n_steps_nonpos,frac_steps_nonpos
E3,business_coverage,5,8,0.846968,4.95911,14.8785,13.85,0.186027,0.065428,0,0.000000
E3,business_coverage,6,8,0.883175,4.95911,14.8785,22.67,0.185447,0.065357,0,0.000000
E3,business_coverage,7,8,0.853483,4.95911,14.8785,29.76,0.185035,0.065306,1,0.142857
E3,business_diversity,3,8,0.727662,4.87256,52.5594,0.00,0.191511,0.018906,0,0.000000
E3,business_diversity,4,8,0.786555,4.87256,52.5594,1.85,0.189969,0.018891,0,0.000000
E3,business_diversity,5,8,0.699697,4.87256,52.5594,12.31,0.189060,0.018882,1,0.200000
E3,business_diversity,6,8,0.651997,4.87256,52.5594,18.67,0.188461,0.018876,2,0.333333
E3,business_diversity,7,8,0.664403,75.0349,52.5594,22.62,0.013251,0.018872,2,0.285714
E3,business_facility,3,8,0.727662,4.87256,49.668,0.00,0.191511,0.019999,0,0.000000
E3,business_facility,4,8,0.615737,4.87256,49.668,1.85,0.189969,0.019982,1,0.250000
E3,business_facility,5,8,0.559066,117.417,49.668,1.54,0.008488,0.019972,1,0.200000
E3,business_facility,6,8,0.562418,117.417,49.668,1.33,0.008487,0.019966,1,0.166667
E3,business_facility,7,8,0.689086,117.417,49.668,1.19,0.008486,0.019961,1,0.142857
E3,business_coverage,3,9,0.636875,5.00499,21.6084,13.89,0.186789,0.045568,1,0.333333
E3,business_coverage,4,9,0.698553,5.00499,26.568,19.57,0.185323,0.037111,1,0.250000
E3,business_coverage,5,9,0.649789,5.00499,43.61,27.27,0.184458,0.022721,2,0.400000
E3,business_coverage,6,9,0.645070,5.00499,43.61,31.75,0.183888,0.022713,3,0.500000
E3,business_coverage,7,9,0.639676,5.00499,43.61,34.29,0.183483,0.022706,4,0.571429
E3,business_diversity,3,9,0.678072,174.291,51.0073,16.67,0.005727,0.019477,0,0.000000
E3,business_diversity,4,9,0.625483,174.291,53.8456,23.91,0.005725,0.018443,0,0.000000
E3,business_diversity,5,9,0.663317,174.291,53.8456,30.91,0.005724,0.018434,0,0.000000
E3,business_diversity,6,9,0.659643,174.291,53.8456,36.51,0.005724,0.018429,1,0.166667
E3,business_diversity,7,9,0.838588,174.291,53.8456,40.00,0.005723,0.018424,1,0.142857
E3,business_facility,3,9,0.649522,1.74165,51.3923,16.67,0.471289,0.019332,1,0.333333
E3,business_facility,4,9,0.595238,92.6471,51.3923,17.39,0.010750,0.019317,1,0.250000
E3,business_facility,5,9,0.802030,92.6471,51.3923,20.00,0.010747,0.019307,1,0.200000
