dataset,seed,K,method,oos_acc,features
breast_cancer,2,4,extra_trees,0.921053,worst radius|worst perimeter|worst concave points|worst area
breast_cancer,2,4,rfe,0.929825,mean smoothness|worst texture|worst perimeter|worst concave points
breast_cancer,2,4,greedy_ftilde,0.929825,worst perimeter|worst fractal dimension|worst concavity|mean smoothness
breast_cancer,2,4,greedy_f,0.947368,worst concave points|concave points error|mean symmetry|concavity error
breast_cancer,2,5,selectkbest,0.929825,worst concave points|worst perimeter|worst radius|mean concave points|mean perimeter
breast_cancer,2,5,mutual_info,0.938596,worst perimeter|worst area|worst radius|mean concave points|worst concave points
breast_cancer,2,5,extra_trees,0.938596,worst radius|worst perimeter|worst concave points|worst area|mean concave points
breast_cancer,2,5,rfe,0.921053,mean smoothness|worst texture|worst perimeter|worst area|worst concave points
breast_cancer,2,5,greedy_ftilde,0.921053,worst perimeter|worst fractal dimension|worst concavity|mean smoothness|area error
breast_cancer,2,5,greedy_f,0.956140,worst concave points|concave points error|mean symmetry|concavity error|texture error
breast_cancer,2,6,selectkbest,0.929825,worst concave points|worst perimeter|worst radius|mean concave points|mean perimeter|worst area
breast_cancer,2,6,mutual_info,0.929825,worst perimeter|worst area|worst radius|mean concave points|worst concave points|mean perimeter
breast_cancer,2,6,extra_trees,0.938596,worst radius|worst perimeter|worst concave points|worst area|mean concave points|mean concavity
breast_cancer,2,6,rfe,0.929825,mean smoothness|worst texture|worst perimeter|worst area|worst concave points|worst fractal dimension
breast_cancer,2,6,greedy_ftilde,0.912281,worst perimeter|worst fractal dimension|worst concavity|mean smoothness|area error|worst area
breast_cancer,2,6,greedy_f,0.956140,worst concave points|concave points error|mean symmetry|concavity error|texture error|worst fractal dimension
breast_cancer,2,7,selectkbest,0.921053,worst concave points|worst perimeter|worst radius|mean concave points|mean perimeter|worst area|mean radius
breast_cancer,2,7,mutual_info,0.921053,worst perimeter|worst area|worst radius|mean concave points|worst concave points|mean perimeter|mean radius
breast_cancer,2,7,extra_trees,0.903509,worst radius|worst perimeter|worst concave points|worst area|mean concave points|mean concavity|mean radius
breast_cancer,2,7,rfe,0.912281,mean smoothness|area error|worst texture|worst perimeter|worst area|worst concave points|worst fractal dimension
breast_cancer,2,7,greedy_ftilde,0.912281,worst perimeter|worst fractal dimension|worst concavity|mean smoothness|area error|worst area|mean perimeter
breast_cancer,2,7,greedy_f,0.964912,worst concave points|concave points error|mean symmetry|concavity error|texture error|worst fractal dimension|compactness error
breast_cancer,3,1,selectkbest,0.833333,worst concave points
breast_cancer,3,1,mutual_info,0.868421,worst perimeter
breast_cancer,3,1,extra_trees,0.868421,worst perimeter
breast_cancer,3,1,rfe,0.833333,worst concave points
breast_cancer,3,1,greedy_ftilde,0.868421,worst perimeter
breast_cancer,3,1,greedy_f,0.868421,mean concave points
breast_cancer,3,2,selectkbest,0.894737,worst concave points|worst perimeter
breast_cancer,3,2,mutual_info,0.894737,worst perimeter|worst area
breast_cancer,3,2,extra_trees,0.859649,worst perimeter|worst radius
breast_cancer,3,2,rfe,0.885965,worst area|worst concave points
breast_cancer,3,2,greedy_ftilde,0.938596,worst perimeter|worst smoothness
breast_cancer,3,2,greedy_f,0.938596,mean concave points|worst area
breast_cancer,3,3,selectkbest,0.885965,worst concave points|worst perimeter|worst radius
breast_cancer,3,3,mutual_info,0.885965,worst perimeter|worst area|worst radius
breast_cancer,3,3,extra_trees,0.885965,worst perimeter|worst radius|worst concave points
breast_cancer,3,3,rfe,0.938596,mean texture|worst area|worst concave points
breast_cancer,3,3,greedy_ftilde,0.929825,worst perimeter|worst smoothness|worst texture
breast_cancer,3,3,greedy_f,0.964912,mean concave points|worst area|worst texture
breast_cancer,3,4,selectkbest,0.912281,worst concave points|worst perimeter|worst radius|mean concave points
breast_cancer,3,4,mutual_info,0.894737,worst perimeter|worst area|worst radius|worst concave points
breast_cancer,3,4,extra_trees,0.894737,worst perimeter|worst radius|worst concave points|worst area
breast_cancer,3,4,rfe,0.921053,mean texture|area error|worst area|worst concave points
breast_cancer,3,4,greedy_ftilde,0.938596,worst perimeter|worst smoothness|worst texture|mean radius
breast_cancer,3,4,greedy_f,0.973684,mean concave points|worst area|worst texture|mean symmetry
breast_cancer,3,5,selectkbest,0.912281,worst concave points|worst perimeter|worst radius|mean concave points|mean perimeter
breast_cancer,3,5,mutual_info,0.912281,worst perimeter|worst area|worst radius|worst concave points|mean concave points
breast_cancer,3,5,extra_trees,0.903509,worst perimeter|worst radius|worst concave points|worst area|mean concavity
breast_cancer,3,5,rfe,0.912281,mean texture|area error|worst area|worst concavity|worst concave points
breast_cancer,3,5,greedy_ftilde,0.938596,worst perimeter|worst smoothness|worst texture|mean radius|mean perimeter
breast_cancer,3,5,greedy_f,0.964912,mean concave points|worst area|worst texture|mean symmetry|mean concavity
breast_cancer,3,6,selectkbest,0.912281,worst concave points|worst perimeter|worst radius|mean concave points|mean perimeter|mean radius
breast_cancer,3,6,mutual_info,0.921053,worst perimeter|worst area|worst radius|worst concave points|mean concave points|mean perimeter
breast_cancer,3,6,extra_trees,0.921053,worst perimeter|worst radius|worst concave points|worst area|mean concavity|mean radius
breast_cancer,3,6,rfe,0.903509,mean texture|area error|worst perimeter|worst area|worst concavity|worst concave points
breast_cancer,3,6,greedy_ftilde,0.938596,worst perimeter|worst smoothness|worst texture|mean radius|mean perimeter|mean compactness
breast_cancer,3,6,greedy_f,0.964912,mean concave points|worst area|worst texture|mean symmetry|mean concavity|mean smoothness
breast_cancer,3,7,selectkbest,0.903509,worst concave points|worst perimeter|worst radius|mean concave points|mean perimeter|mean radius|worst area
breast_cancer,3,7,mutual_info,0.903509,worst perimeter|worst area|worst radius|worst concave points|mean concave points|mean perimeter|mean area
breast_cancer,3,7,extra_trees,0.894737,worst perimeter|worst radius|worst concave points|worst area|mean concavity|mean radius|mean concave points
breast_cancer,3,7,rfe,0.912281,mean texture|texture error|area error|worst perimeter|worst area|worst concavity|worst concave points
breast_cancer,3,7,greedy_ftilde,0.938596,worst perimeter|worst smoothness|worst texture|mean radius|mean perimeter|mean compactness|radius error
breast_cancer,3,7,greedy_f,0.973684,mean concave points|worst area|worst texture|mean symmetry|mean concavity|mean smoothness|mean texture
breast_cancer,4,1,selectkbest,0.938596,worst concave points
breast_cancer,4,1,mutual_info,0.850877,worst perimeter
breast_cancer,4,1,extra_trees,0.842105,worst radius
breast_cancer,4,1,rfe,0.850877,worst perimeter
breast_cancer,4,1,greedy_ftilde,0.850877,worst perimeter
breast_cancer,4,1,greedy_f,0.938596,worst concave points
breast_cancer,4,2,selectkbest,0.877193,worst concave points|worst perimeter
breast_cancer,4,2,mutual_info,0.868421,worst perimeter|worst area
breast_cancer,4,2,extra_trees,0.842105,worst radius|worst perimeter
breast_cancer,4,2,rfe,0.894737,worst perimeter|worst smoothness
breast_cancer,4,2,greedy_ftilde,0.894737,worst perimeter|worst smoothness
breast_cancer,4,2,greedy_f,0.947368,worst concave points|mean texture
breast_cancer,4,3,selectkbest,0.912281,worst concave points|worst perimeter|worst radius
breast_cancer,4,3,mutual_info,0.859649,worst perimeter|worst area|worst radius
breast_cancer,4,3,extra_trees,0.859649,worst radius|worst perimeter|worst area
breast_cancer,4,3,rfe,0.894737,worst perimeter|worst area|worst smoothness
breast_cancer,4,3,greedy_ftilde,0.938596,worst perimeter|worst smoothness|worst texture
breast_cancer,4,3,greedy_f,0.947368,worst concave points|mean texture|mean perimeter
breast_cancer,4,4,selectkbest,0.912281,worst concave points|worst perimeter|worst radius|mean concave points
breast_cancer,4,4,mutual_info,0.894737,worst perimeter|worst area|worst radius|worst concave points
breast_cancer,4,4,extra_trees,0.894737,worst radius|worst perimeter|worst area|worst concave points
breast_cancer,4,4,rfe,0.850877,worst perimeter|worst area|worst smoothness|worst concave points
breast_cancer,4,4,greedy_ftilde,0.894737,worst perimeter|worst smoothness|worst texture|mean radius
breast_cancer,4,4,greedy_f,0.964912,worst concave points|mean texture|mean perimeter|concave points error
breast_cancer,4,5,selectkbest,0.912281,worst concave points|worst perimeter|worst radius|mean concave points|mean perimeter
breast_cancer,4,5,mutual_info,0.894737,worst perimeter|worst area|worst radius|worst concave points|mean concave points
breast_cancer,4,5,extra_trees,0.894737,worst radius|worst perimeter|worst area|worst concave points|mean radius
breast_cancer,4,5,rfe,0.929825,worst texture|worst perimeter|worst area|worst smoothness|worst concave points
breast_cancer,4,5,greedy_ftilde,0.903509,worst perimeter|worst smoothness|worst texture|mean radius|worst area
breast_cancer,4,5,greedy_f,0.964912,worst concave points|mean texture|mean perimeter|concave points error|mean radius
breast_cancer,4,6,selectkbest,0.921053,worst concave points|worst perimeter|worst radius|mean concave points|mean perimeter|mean radius
breast_cancer,4,6,mutual_info,0.885965,worst perimeter|worst area|worst radius|worst concave points|mean concave points|mean perimeter
breast_cancer,4,6,extra_trees,0.894737,worst radius|worst perimeter|worst area|worst concave points|mean radius|mean concave points
breast_cancer,4,6,rfe,0.894737,area error|worst texture|worst perimeter|worst area|worst smoothness|worst concave points
breast_cancer,4,6,greedy_ftilde,0.903509,worst perimeter|worst smoothness|worst texture|mean radius|worst area|mean fractal dimension
breast_cancer,4,6,greedy_f,0.973684,worst concave points|mean texture|mean perimeter|concave points error|mean radius|worst smoothness
breast_cancer,4,7,selectkbest,0.894737,worst concave points|worst perimeter|worst radius|mean concave points|mean perimeter|mean radius|worst area
breast_cancer,4,7,mutual_info,0.894737,worst perimeter|worst area|worst radius|worst concave points|mean concave points|mean perimeter|mean area
breast_cancer,4,7,extra_trees,0.894737,worst radius|worst perimeter|worst area|worst concave points|mean radius|mean concave points|mean concavity
breast_cancer,4,7,rfe,0.885965,area error|worst texture|worst perimeter|worst area|worst smoothness|worst concavity|worst concave points
breast_cancer,4,7,greedy_ftilde,0.894737,worst perimeter|worst smoothness|worst texture|mean radius|worst area|mean fractal dimension|mean texture
breast_cancer,4,7,greedy_f,0.964912,worst concave points|mean texture|mean perimeter|concave points error|mean radius|worst smoothness|symmetry error
breast_cancer,5,1,selectkbest,0.877193,worst concave points
breast_cancer,5,1,mutual_info,0.903509,worst area
breast_cancer,5,1,extra_trees,0.912281,worst radius
breast_cancer,5,1,rfe,0.877193,worst concave points
breast_cancer,5,1,greedy_ftilde,0.877193,worst concave points
breast_cancer,5,1,greedy_f,0.912281,worst radius
breast_cancer,5,2,selectkbest,0.929825,worst concave points|worst perimeter
breast_cancer,5,2,mutual_info,0.868421,worst area|worst perimeter
breast_cancer,5,2,extra_trees,0.859649,worst radius|worst perimeter
breast_cancer,5,2,rfe,0.938596,worst area|worst concave points
breast_cancer,5,2,greedy_ftilde,0.947368,worst concave points|worst radius
breast_cancer,5,2,greedy_f,0.956140,worst radius|worst smoothness
breast_cancer,5,3,selectkbest,0.929825,worst concave points|worst perimeter|worst radius
breast_cancer,5,3,mutual_info,0.938596,worst area|worst perimeter|worst concave points
breast_cancer,5,3,extra_trees,0.929825,worst radius|worst perimeter|worst concave points
breast_cancer,5,3,rfe,0.964912,worst texture|worst area|worst concave points
breast_cancer,5,3,greedy_ftilde,0.929825,worst concave points|worst radius|mean perimeter
breast_cancer,5,3,greedy_f,0.973684,worst radius|worst smoothness|texture error
breast_cancer,5,4,selectkbest,0.903509,worst concave points|worst perimeter|worst radius|mean concave points
breast_cancer,5,4,mutual_info,0.938596,worst area|worst perimeter|worst concave points|worst radius
breast_cancer,5,4,extra_trees,0.938596,worst radius|worst perimeter|worst concave points|worst area
breast_cancer,5,4,rfe,0.947368,worst texture|worst area|worst smoothness|worst concave points
breast_cancer,5,4,greedy_ftilde,0.912281,worst concave points|worst radius|mean perimeter|mean concave points
breast_cancer,5,4,greedy_f,0.973684,worst radius|worst smoothness|texture error|mean perimeter
breast_cancer,5,5,selectkbest,0.938596,worst concave points|worst perimeter|worst radius|mean concave points|worst area
