task,dataset,K,seed,ratio,eta_sel,eta_path_trimmed,viol_sign_pct,LK_eta_sel,LK_eta_path
E1,wine,1,15,0.928571,1.14286,5.74101,23.08,0.875000,0.174185
E1,wine,2,15,0.970588,1.14286,13.554,20.00,0.683594,0.072418
E1,wine,3,15,0.916667,1.14286,13.554,25.00,0.644604,0.071980
E1,wine,4,15,0.971429,3,13.554,30.43,0.293933,0.071763
E1,wine,5,15,0.914286,3,13.554,27.27,0.291754,0.071634
E1,wine,6,15,0.971429,3,13.554,30.16,0.290327,0.071548
E1,wine,7,15,1.000000,3,13.554,30.43,0.289319,0.071487
E1,wine,1,16,0.920000,1.15385,8.68327,7.69,0.866667,0.115164
E1,wine,2,16,0.968750,1.15385,8.68327,20.83,0.678889,0.111848
E1,wine,3,16,0.939394,1.15385,8.68327,17.24,0.640406,0.110800
E1,wine,4,16,0.970588,1.15385,8.68327,15.62,0.623481,0.110285
E1,wine,5,16,0.885714,1.15385,8.68327,12.20,0.613942,0.109980
E1,wine,6,16,0.885714,1.15385,8.68327,11.90,0.607817,0.109777
E1,wine,7,16,0.852941,1.15385,8.68327,12.24,0.603549,0.109633
E1,wine,1,17,0.766667,2,11.9875,15.38,0.500000,0.083420
E1,wine,2,17,1.060606,2,11.9875,28.00,0.437500,0.081680
E1,wine,3,17,1.000000,2,11.9875,29.03,0.421296,0.081122
E1,wine,4,17,0.971429,2,11.9875,33.33,0.413818,0.080847
E1,wine,5,17,0.944444,2,11.9875,35.90,0.409510,0.080683
E1,wine,6,17,0.944444,2,11.9875,35.71,0.406708,0.080574
E1,wine,7,17,0.972222,2,11.9875,34.69,0.404739,0.080496
E1,wine,1,18,1.000000,1,2.85028,0.00,1.000000,0.350843
E1,wine,2,18,0.906250,4,11.8851,16.67,0.234375,0.082369
E1,wine,3,18,0.939394,4,22.8761,13.33,0.229745,0.043080
E1,wine,4,18,0.885714,4,22.8761,18.18,0.227524,0.043002
E1,wine,5,18,0.885714,4,22.8761,22.86,0.226219,0.042956
E1,wine,6,18,0.885714,4,22.8761,26.32,0.225361,0.042925
E1,wine,7,18,0.911765,4,22.8761,30.00,0.224753,0.042903
E1,wine,1,19,1.000000,1,9.31169,30.77,1.000000,0.107392
E1,wine,2,19,0.969697,1.2,10.755,20.83,0.659722,0.090819
E1,wine,3,19,0.970588,1.2,10.755,21.88,0.623285,0.090128
E1,wine,4,19,1.000000,1.2,10.755,17.95,0.607202,0.089788
E1,wine,5,19,0.970588,1.2,10.755,19.51,0.598122,0.089586
E1,wine,6,19,0.970588,1.2,10.755,20.93,0.592286,0.089451
E1,wine,7,19,0.970588,1.2,10.755,22.22,0.588218,0.089356
E1,wine,1,20,0.884615,1.5,6.96488,15.38,0.666667,0.143577
E1,wine,2,20,1.000000,1.5,6.96488,8.00,0.555556,0.138424
E1,wine,3,20,0.861111,1.5,6.96488,15.62,0.529492,0.136816
E1,wine,4,20,0.942857,1.5,6.96488,19.44,0.517747,0.136030
E1,wine,5,20,0.942857,1.5,6.96488,18.92,0.511054,0.135565
E1,wine,6,20,0.942857,1.5,6.96488,17.95,0.506730,0.135257
E1,wine,7,20,0.970588,1.5,6.96488,17.07,0.503705,0.135039
E1,wine,1,21,0.961538,1.06667,3.3879,15.38,0.937500,0.295168
E1,wine,2,21,1.032258,1.14286,3.3879,29.17,0.683594,0.273387
E1,wine,3,21,1.031250,2,6.08541,31.25,0.421296,0.155491
E1,wine,4,21,1.030303,2,6.08541,36.84,0.413818,0.154476
E1,wine,5,21,1.000000,2,6.08541,36.59,0.409510,0.153875
E1,wine,6,21,1.000000,2,6.08541,34.88,0.406708,0.153479
E1,wine,7,21,0.939394,2,6.08541,32.61,0.404739,0.153197
E1,wine,1,22,1.000000,1,6.06159,25.00,1.000000,0.164973
E1,wine,2,22,1.000000,1,6.30053,18.18,0.750000,0.152419
E1,wine,3,22,0.970588,1,6.30053,19.23,0.703704,0.150468
E1,wine,4,22,0.970588,1,6.30053,17.86,0.683594,0.149518
E1,wine,5,22,0.970588,1,6.30053,16.67,0.672320,0.148955
E1,wine,6,22,0.970588,1,6.30053,16.13,0.665102,0.148584
E1,wine,7,22,0.970588,1,6.30053,15.62,0.660083,0.148320
E1,wine,1,23,0.900000,1.25,5.58511,7.69,0.800000,0.179048
E1,wine,2,23,0.970588,1.25,5.95745,12.50,0.640000,0.160813
E1,wine,3,23,1.000000,1.25,5.95745,14.71,0.605630,0.158640
E1,wine,4,23,1.000000,1.25,5.95745,19.44,0.590400,0.157584
E1,wine,5,23,0.972222,1.25,5.95745,17.07,0.581788,0.156959
E1,wine,6,23,0.944444,1.25,5.95745,15.91,0.576247,0.156546
E1,wine,7,23,0.972222,1.25,5.95745,27.45,0.572382,0.156253
E1,wine,1,24,1.000000,1,14.9803,8.33,1.000000,0.066754
