n,K,tau,eta,defn,mode,status,min_delta,note
48,6,1,3.0,true,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
48,6,1,3.0,ysmall,A_fixedFG,FEASIBLE-BAND,5.24025268e-14,leak_levels=0
48,6,1,3.0,ysmall,B_fixedF,FEASIBLE,1.77635684e-15,delta_cc=1.77636e-15
48,6,2,3.0,true,A_fixedFG,LEAKS,5.24025268e-14,leak_levels=24
48,6,2,3.0,true,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
48,6,2,3.0,ysmall,A_fixedFG,LEAKS,5.24025268e-14,leak_levels=21
48,6,2,3.0,ysmall,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
96,6,1,1.5,true,A_fixedFG,FEASIBLE-BAND,1.42108547e-14,leak_levels=0
96,6,1,1.5,true,B_fixedF,FEASIBLE,1.33226763e-15,delta_cc=1.33227e-15
96,6,1,1.5,ysmall,A_fixedFG,FEASIBLE-BAND,1.42108547e-14,leak_levels=0
96,6,1,1.5,ysmall,B_fixedF,FEASIBLE,1.33226763e-15,delta_cc=1.33227e-15
96,6,2,1.5,true,A_fixedFG,LEAKS,1.42108547e-14,leak_levels=13
96,6,2,1.5,true,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
96,6,2,1.5,ysmall,A_fixedFG,LEAKS,1.42108547e-14,leak_levels=13
96,6,2,1.5,ysmall,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
96,6,1,2.0,true,A_fixedFG,LEAKS,2.22044605e-14,leak_levels=2
96,6,1,2.0,true,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
96,6,1,2.0,ysmall,A_fixedFG,FEASIBLE-BAND,2.22044605e-14,leak_levels=0
96,6,1,2.0,ysmall,B_fixedF,FEASIBLE,1.11022302e-15,delta_cc=1.11022e-15
96,6,2,2.0,true,A_fixedFG,LEAKS,2.22044605e-14,leak_levels=17
96,6,2,2.0,true,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
96,6,2,2.0,ysmall,A_fixedFG,LEAKS,2.22044605e-14,leak_levels=16
96,6,2,2.0,ysmall,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
96,6,1,3.0,true,A_fixedFG,LEAKS,5.24025268e-14,leak_levels=7
96,6,1,3.0,true,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
96,6,1,3.0,ysmall,A_fixedFG,FEASIBLE-BAND,5.24025268e-14,leak_levels=0
96,6,1,3.0,ysmall,B_fixedF,FEASIBLE,1.77635684e-15,delta_cc=1.77636e-15
96,6,2,3.0,true,A_fixedFG,LEAKS,5.24025268e-14,leak_levels=22
96,6,2,3.0,true,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
96,6,2,3.0,ysmall,A_fixedFG,LEAKS,5.24025268e-14,leak_levels=21
96,6,2,3.0,ysmall,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
