dataset,p,seed,K,eta_sel_csv,eta_sel_fixedk,LK_csv,LK_fixedk,is_inf,n_steps_nonpos_csv,n_zero_steps_replay,n_harmful_zero_replay,n_benign_zero_replay,eta_sel_changed,LK_changed
email_eu_core,0.5,1,9,3.5,3.5,0.251997,0.251997,0,0,0,0,0,0,0
email_eu_core,0.5,1,10,3.5,3.5,0.251643,0.251643,0,0,0,0,0,0,0
email_eu_core,0.5,1,11,3.5,3.5,0.251355,0.251355,0,0,0,0,0,0,0
email_eu_core,0.5,1,12,3.5,3.5,0.251116,0.251116,0,0,0,0,0,0,0
email_eu_core,0.5,1,13,3.5,3.5,0.250913,0.250913,0,0,0,0,0,0,0
email_eu_core,0.5,1,14,3.5,3.5,0.250741,0.250741,0,0,0,0,0,0,0
email_eu_core,0.5,1,15,3.5,3.5,0.250591,0.250591,0,0,0,0,0,0,0
email_eu_core,0.5,1,16,3.5,3.5,0.250460,0.250460,0,0,0,0,0,0,0
email_eu_core,0.5,1,17,5,5,0.182240,0.182240,0,0,0,0,0,0,0
email_eu_core,0.5,1,18,5,5,0.182185,0.182185,0,0,0,0,0,0,0
email_eu_core,0.5,1,19,5,5,0.182137,0.182137,0,0,0,0,0,0,0
email_eu_core,0.5,1,20,5,5,0.182093,0.182093,0,0,0,0,0,0,0
email_eu_core,0.5,1,21,5,5,0.182054,0.182054,0,0,0,0,0,0,0
email_eu_core,0.5,1,22,5,5,0.182018,0.182018,0,0,0,0,0,0,0
email_eu_core,0.5,1,23,5,5,0.181985,0.181985,0,0,0,0,0,0,0
email_eu_core,0.5,1,24,5,5,0.181955,0.181955,0,0,0,0,0,0,0
email_eu_core,0.5,1,25,5,inf,0.181927,0.000000,1,1,1,1,0,1,1
email_eu_core,0.5,1,26,5,inf,0.181902,0.000000,1,1,1,1,0,1,1
email_eu_core,0.5,1,27,5,inf,0.181878,0.000000,1,1,1,1,0,1,1
email_eu_core,0.5,1,28,5,inf,0.181857,0.000000,1,1,1,1,0,1,1
email_eu_core,0.5,1,29,5,inf,0.181836,0.000000,1,1,1,1,0,1,1
email_eu_core,0.5,1,30,5,inf,0.181817,0.000000,1,1,1,1,0,1,1
email_eu_core,0.5,3,1,1,1,1.000000,1.000000,0,0,0,0,0,0,0
email_eu_core,0.5,3,2,1,1,0.750000,0.750000,0,0,0,0,0,0,0
email_eu_core,0.5,3,3,1.37209,1.37209,0.566095,0.566095,0,0,0,0,0,0,0
email_eu_core,0.5,3,4,1.37209,1.37209,0.552718,0.552718,0,0,0,0,0,0,0
email_eu_core,0.5,3,5,1.37209,1.37209,0.545124,0.545124,0,0,0,0,0,0,0
email_eu_core,0.5,3,6,1.37209,1.37209,0.540228,0.540228,0,0,0,0,0,0,0
email_eu_core,0.5,3,7,1.44,1.44,0.518743,0.518743,0,0,0,0,0,0,0
email_eu_core,0.5,3,8,1.44,1.44,0.516378,0.516378,0,0,0,0,0,0,0
email_eu_core,0.5,3,9,1.44,1.44,0.514560,0.514560,0,0,0,0,0,0,0
email_eu_core,0.5,3,10,1.44,1.44,0.513119,0.513119,0,0,0,0,0,0,0
email_eu_core,0.5,3,11,1.625,1.625,0.469146,0.469146,0,0,0,0,0,0,0
email_eu_core,0.5,3,12,4.33333,4.33333,0.207860,0.207860,0,0,0,0,0,0,0
email_eu_core,0.5,3,13,4.33333,4.33333,0.207721,0.207721,0,0,0,0,0,0,0
email_eu_core,0.5,3,14,4.33333,4.33333,0.207603,0.207603,0,0,0,0,0,0,0
email_eu_core,0.5,3,15,4.33333,4.33333,0.207500,0.207500,0,0,0,0,0,0,0
email_eu_core,0.5,3,16,4.33333,4.33333,0.207410,0.207410,0,0,0,0,0,0,0
email_eu_core,0.5,3,17,4.33333,4.33333,0.207331,0.207331,0,0,0,0,0,0,0
email_eu_core,0.5,3,18,4.33333,4.33333,0.207261,0.207261,0,0,0,0,0,0,0
email_eu_core,0.5,3,19,4.33333,4.33333,0.207198,0.207198,0,0,0,0,0,0,0
email_eu_core,0.5,3,20,4.33333,4.33333,0.207142,0.207142,0,0,0,0,0,0,0
email_eu_core,0.5,3,21,4.33333,4.33333,0.207091,0.207091,0,0,0,0,0,0,0
email_eu_core,0.5,3,22,4.33333,4.33333,0.207044,0.207044,0,0,0,0,0,0,0
email_eu_core,0.5,3,23,4.33333,4.33333,0.207002,0.207002,0,0,0,0,0,0,0
email_eu_core,0.5,3,24,4.33333,4.33333,0.206963,0.206963,0,0,0,0,0,0,0
email_eu_core,0.5,3,25,4.33333,4.33333,0.206928,0.206928,0,0,0,0,0,0,0
email_eu_core,0.5,3,26,4.33333,4.33333,0.206895,0.206895,0,0,0,0,0,0,0
email_eu_core,0.5,3,27,4.33333,4.33333,0.206864,0.206864,0,0,0,0,0,0,0
email_eu_core,0.5,3,28,6,6,0.153940,0.153940,0,0,0,0,0,0,0
email_eu_core,0.5,3,29,6,6,0.153925,0.153925,0,0,0,0,0,0,0
email_eu_core,0.5,3,30,6,inf,0.153912,0.000000,1,1,1,1,0,1,1
email_eu_core,0.5,12,1,1,1,1.000000,1.000000,0,0,0,0,0,0,0
email_eu_core,0.5,12,2,1.06098,1.06098,0.720439,0.720439,0,0,0,0,0,0,0
email_eu_core,0.5,12,3,1.06098,1.06098,0.677420,0.677420,0,0,0,0,0,0,0
email_eu_core,0.5,12,4,1.06098,1.06098,0.658642,0.658642,0,0,0,0,0,0,0
email_eu_core,0.5,12,5,1.69231,1.69231,0.466794,0.466794,0,0,0,0,0,0,0
email_eu_core,0.5,12,6,1.69231,1.69231,0.463168,0.463168,0,0,0,0,0,0,0
email_eu_core,0.5,12,7,1.69231,1.69231,0.460628,0.460628,0,0,0,0,0,0,0
email_eu_core,0.5,12,8,1.69231,1.69231,0.458748,0.458748,0,0,0,0,0,0,0
email_eu_core,0.5,12,9,2.2,2.2,0.372760,0.372760,0,0,0,0,0,0,0
email_eu_core,0.5,12,10,2.2,2.2,0.371991,0.371991,0,0,0,0,0,0,0
email_eu_core,0.5,12,11,2.2,2.2,0.371365,0.371365,0,0,0,0,0,0,0
email_eu_core,0.5,12,12,2.2,2.2,0.370845,0.370845,0,0,0,0,0,0,0
email_eu_core,0.5,12,13,2.4,2.4,0.345242,0.345242,0,0,0,0,0,0,0
email_eu_core,0.5,12,14,2.4,2.4,0.344917,0.344917,0,0,0,0,0,0,0
email_eu_core,0.5,12,15,2.4,2.4,0.344635,0.344635,0,0,0,0,0,0,0
email_eu_core,0.5,12,16,2.75,2.75,0.307767,0.307767,0,0,0,0,0,0,0
email_eu_core,0.5,12,17,2.75,2.75,0.307593,0.307593,0,0,0,0,0,0,0
email_eu_core,0.5,12,18,2.75,2.75,0.307440,0.307440,0,0,0,0,0,0,0
email_eu_core,0.5,12,19,2.75,2.75,0.307302,0.307302,0,0,0,0,0,0,0
email_eu_core,0.5,12,20,2.75,2.75,0.307178,0.307178,0,0,0,0,0,0,0
email_eu_core,0.5,12,21,2.75,inf,0.307067,0.000000,1,1,1,1,0,1,1
email_eu_core,0.5,12,22,2.75,inf,0.306965,0.000000,1,1,1,1,0,1,1
email_eu_core,0.5,12,23,2.75,inf,0.306873,0.000000,1,1,1,1,0,1,1
email_eu_core,0.5,12,24,4,inf,0.222220,0.000000,1,1,1,1,0,1,1
email_eu_core,0.5,12,25,4,inf,0.222179,0.000000,1,1,1,1,0,1,1
email_eu_core,0.5,12,26,4,inf,0.222141,0.000000,1,1,1,1,0,1,1
email_eu_core,0.5,12,27,4,inf,0.222106,0.000000,1,1,1,1,0,1,1
email_eu_core,0.5,12,28,4,inf,0.222073,0.000000,1,1,1,1,0,1,1
email_eu_core,0.5,12,29,4,inf,0.222043,0.000000,1,1,1,1,0,1,1
email_eu_core,0.5,12,30,4,inf,0.222015,0.000000,1,1,1,1,0,1,1
facebook_artist,0.5,0,1,1.00478,1.00478,0.995238,0.995238,0,0,0,0,0,0,0
facebook_artist,0.5,0,2,1.00478,1.00478,0.747613,0.747613,0,0,0,0,0,0,0
facebook_artist,0.5,0,3,1.00478,1.00478,0.701582,0.701582,0,0,0,0,0,0,0
facebook_artist,0.5,0,4,1.2335,1.2335,0.595851,0.595851,0,0,0,0,0,0,0
facebook_artist,0.5,0,5,1.2335,1.2335,0.587088,0.587088,0,0,0,0,0,0,0
facebook_artist,0.5,0,6,1.2335,1.2335,0.581452,0.581452,0,0,0,0,0,0,0
facebook_artist,0.5,0,7,1.2335,1.2335,0.577521,0.577521,0,0,0,0,0,0,0
facebook_artist,0.5,0,8,1.2335,1.2335,0.574624,0.574624,0,0,0,0,0,0,0
facebook_artist,0.5,0,9,1.2335,1.2335,0.572399,0.572399,0,0,0,0,0,0,0
facebook_artist,0.5,0,10,1.2335,1.2335,0.570637,0.570637,0,0,0,0,0,0,0
facebook_artist,0.5,0,11,1.34,1.34,0.538277,0.538277,0,0,0,0,0,0,0
facebook_artist,0.5,0,12,1.39791,1.39791,0.521723,0.521723,0,0,0,0,0,0,0
facebook_artist,0.5,0,13,1.39791,1.39791,0.520874,0.520874,0,0,0,0,0,0,0
facebook_artist,0.5,0,14,1.39791,1.39791,0.520149,0.520149,0,0,0,0,0,0,0
facebook_artist,0.5,0,15,1.39791,1.39791,0.519523,0.519523,0,0,0,0,0,0,0
facebook_artist,0.5,0,16,1.43686,1.43686,0.509118,0.509118,0,0,0,0,0,0,0
facebook_artist,0.5,0,17,1.43686,1.43686,0.508655,0.508655,0,0,0,0,0,0,0
facebook_artist,0.5,0,18,1.43686,1.43686,0.508245,0.508245,0,0,0,0,0,0,0
facebook_artist,0.5,0,19,1.43686,1.43686,0.507878,0.507878,0,0,0,0,0,0,0
facebook_artist,0.5,0,20,1.43686,1.43686,0.507549,0.507549,0,0,0,0,0,0,0
facebook_artist,0.5,0,21,1.43686,1.43686,0.507251,0.507251,0,0,0,0,0,0,0
facebook_artist,0.5,0,22,1.43686,1.43686,0.506981,0.506981,0,0,0,0,0,0,0
facebook_artist,0.5,0,23,1.43686,1.43686,0.506735,0.506735,0,0,0,0,0,0,0
facebook_artist,0.5,0,24,1.43686,1.43686,0.506510,0.506510,0,0,0,0,0,0,0
facebook_artist,0.5,0,25,1.43686,1.43686,0.506303,0.506303,0,0,0,0,0,0,0
facebook_artist,0.5,0,26,1.43686,1.43686,0.506112,0.506112,0,0,0,0,0,0,0
facebook_artist,0.5,0,27,1.45614,1.45614,0.501241,0.501241,0,0,0,0,0,0,0
facebook_artist,0.5,0,28,1.45614,1.45614,0.501080,0.501080,0,0,0,0,0,0,0
facebook_artist,0.5,0,29,1.45614,1.45614,0.500930,0.500930,0,0,0,0,0,0,0
facebook_artist,0.5,0,30,1.45614,1.45614,0.500790,0.500790,0,0,0,0,0,0,0
facebook_government,0.5,0,1,1,1,1.000000,1.000000,0,0,0,0,0,0,0
facebook_government,0.5,0,2,1,1,0.750000,0.750000,0,0,0,0,0,0,0
facebook_government,0.5,0,3,1,1,0.703704,0.703704,0,0,0,0,0,0,0
facebook_government,0.5,0,4,1.84615,1.84615,0.441237,0.441237,0,0,0,0,0,0,0
facebook_government,0.5,0,5,1.84615,1.84615,0.436346,0.436346,0,0,0,0,0,0,0
facebook_government,0.5,0,6,1.84615,1.84615,0.433170,0.433170,0,0,0,0,0,0,0
facebook_government,0.5,0,7,1.84615,1.84615,0.430941,0.430941,0,0,0,0,0,0,0
facebook_government,0.5,0,8,1.84615,1.84615,0.429291,0.429291,0,0,0,0,0,0,0
facebook_government,0.5,0,9,1.84615,inf,0.428020,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,0,10,1.84615,inf,0.427011,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,0,11,1.84615,inf,0.426190,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,0,12,1.84615,inf,0.425510,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,0,13,1.85938,inf,0.422621,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,0,14,1.85938,inf,0.422137,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,0,15,1.85938,inf,0.421718,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,0,16,1.85938,inf,0.421353,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,0,17,1.85938,inf,0.421031,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,0,18,1.85938,inf,0.420746,0.000000,1,1,1,1,0,1,1
